tweet_id,dog_species
736392552031657984,pupper
736365877722001409,pupper
735648611367784448,pupper
735137028879360001,pupper
733109485275860992,pupper
730573383004487680,pupper
728035342121635841,pupper
728015554473250816,pupper
727524757080539137,pupper
727314416056803329,pupper
725786712245440512,pupper
724405726123311104,pupper
724004602748780546,pupper
721001180231503872,pupper
720340705894408192,pupper
719704490224398336,pupper
717790033953034240,pupper
717009362452090881,pupper
716447146686459905,pupper
712309440758808576,pupper
711968124745228288,pupper
711008018775851008,pupper
710117014656950272,pupper
708845821941387268,pupper
707411934438625280,pupper
707315916783140866,pupper
706310011488698368,pupper
705975130514706432,pupper
705786532653883392,pupper
705428427625635840,pupper
704859558691414016,pupper
704761120771465216,pupper
704347321748819968,pupper
704134088924532736,pupper
703611486317502464,pupper
703407252292673536,pupper
703268521220972544,pupper
702598099714314240,pupper
701805642395348998,pupper
701545186879471618,pupper
700864154249383937,pupper
700151421916807169,pupper
700143752053182464,pupper
699801817392291840,pupper
699434518667751424,pupper
699036661657767936,pupper
697616773278015490,pupper
697596423848730625,pupper
696877980375769088,pupper
696713835009417216,pupper
696518437233913856,pupper
696100768806522880,pupper
695095422348574720,pupper
695074328191332352,pupper
694356675654983680,pupper
694329668942569472,pupper
693629975228977152,pupper
693590843962331137,pupper
693262851218264065,pupper
693095443459342336,pupper
692905862751522816,pupper
692828166163931137,pupper
692752401762250755,pupper
692417313023332352,pupper
690015576308211712,pupper
689905486972461056,pupper
689623661272240129,pupper
689143371370250240,pupper
688916208532455424,pupper
688894073864884227,pupper
688519176466644993,pupper
688179443353796608,pupper
687818504314159109,pupper
687704180304273409,pupper
687476254459715584,pupper
687312378585812992,pupper
687096057537363968,pupper
686760001961103360,pupper
686683045143953408,pupper
686618349602762752,pupper
686377065986265092,pupper
686007916130873345,pupper
685943807276412928,pupper
685667379192414208,pupper
685641971164143616,pupper
685547936038666240,pupper
685268753634967552,pupper
685169283572338688,pupper
684880619965411328,pupper
684830982659280897,pupper
684588130326986752,pupper
684147889187209216,pupper
683834909291606017,pupper
683828599284170753,pupper
683481228088049664,pupper
683462770029932544,pupper
683142553609318400,pupper
683111407806746624,pupper
683078886620553216,pupper
682788441537560576,pupper
682406705142087680,pupper
681891461017812993,pupper
681694085539872773,pupper
681679526984871937,pupper
681654059175129088,pupper
681231109724700672,pupper
680836378243002368,pupper
680473011644985345,pupper
680191257256136705,pupper
680176173301628928,pupper
680145970311643136,pupper
680100725817409536,pupper
679828447187857408,pupper
679777920601223168,pupper
679527802031484928,pupper
679503373272485890,pupper
678800283649069056,pupper
678708137298427904,pupper
678389028614488064,pupper
678341075375947776,pupper
678278586130948096,pupper
677557565589463040,pupper
677269281705472000,pupper
676936541936185344,pupper
676916996760600576,pupper
676819651066732545,pupper
676617503762681856,pupper
676603393314578432,pupper
676593408224403456,pupper
676575501977128964,pupper
676470639084101634,pupper
676263575653122048,pupper
675898130735476737,pupper
675845657354215424,pupper
675740360753160193,pupper
675334060156301312,pupper
675113801096802304,pupper
675006312288268288,pupper
674774481756377088,pupper
674737130913071104,pupper
674638615994089473,pupper
674447403907457024,pupper
674318007229923329,pupper
674262580978937856,pupper
674038233588723717,pupper
673956914389192708,pupper
673919437611909120,pupper
673707060090052608,pupper
673697980713705472,pupper
673656262056419329,pupper
673612854080196609,pupper
673363615379013632,pupper
673342308415348736,pupper
673295268553605120,pupper
673148804208660480,pupper
672988786805112832,pupper
672975131468300288,pupper
672970152493887488,pupper
672898206762672129,pupper
672622327801233409,pupper
672614745925664768,pupper
672594978741354496,pupper
672481316919734272,pupper
672254177670729728,pupper
672205392827572224,pupper
672160042234327040,pupper
889665388333682689,puppo
889531135344209921,puppo
878776093423087618,puppo
874012996292530176,puppo
867421006826221569,puppo
859607811541651456,puppo
855851453814013952,puppo
825535076884762624,puppo
825026590719483904,puppo
822872901745569793,puppo
819952236453363712,puppo
803773340896923648,puppo
802239329049477120,puppo
793195938047070209,puppo
790946055508652032,puppo
787717603741622272,puppo
786051337297522688,puppo
784183165795655680,puppo
780931614150983680,puppo
756275833623502848,puppo
752519690950500352,puppo
751132876104687617,puppo
744995568523612160,puppo
743253157753532416,puppo
738537504001953792,puppo
